,Movie,Year,Duration,Rating,Voting,Description
92,Jagame Thandhiram,2021,2h 38m,5.8,"12,308","<div class=""ipc-html-content-inner-div"">A nomadic gangster finds himself caught between good and evil in a fight for a place to call home. Starring Dhanush, Aishwarya Lekshmi and James Cosmo.</div>"
93,Sardar,2022,2h 46m,7.5,"7,443","<div class=""ipc-html-content-inner-div"">A spy, who is estranged from his family due to a mission, suddenly meets his police officer son.</div>"
94,Lift,2021,2h 14m,6.6,"3,505","<div class=""ipc-html-content-inner-div"">A usual working day turns unusual for Guru and Harini when they get trapped in their haunted office. A patterned game unlocks a mystery and a lift is their only way out.</div>"
95,Thalapathy 68,Nil,Nil,Nil,Nil,
96,Thadam,2019,2h 18m,8.1,"8,435","<div class=""ipc-html-content-inner-div"">The murder of a youngster creates confusion among cops when they discover the suspect has a lookalike.</div>"
97,Sarkar,2018,2h 43m,6.7,"21,498","<div class=""ipc-html-content-inner-div"">An NRI businessman learns his vote has been cast by someone else and decides to investigate the matter, eventually finding himself pitted against two corrupt politicians.</div>"
98,Vivegam,2017,2h 29m,5.2,"12,777","<div class=""ipc-html-content-inner-div"">An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.</div>"
99,Nanban,2012,3h 8m,7.8,"16,438","<div class=""ipc-html-content-inner-div"">10 years after leaving college, two best friends and their rival go on a search for their third friend, while finding out some truths along the way.</div>"
100,Aruvi,2016,2h 10m,8.4,"13,869","<div class=""ipc-html-content-inner-div"">A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story.</div>"
101,Iruvar,1997,2h 20m,8.4,"6,868","<div class=""ipc-html-content-inner-div"">A struggling actor and a writer-politician become friends as young men and rise to great heights in cinema and politics respectively. But when both become contenders for the top political post in the state, a rift develops between them.</div>"
102,Gargi,2022,2h 20m,8.1,"6,602","<div class=""ipc-html-content-inner-div"">The journey of a young school teacher to prove her father's innocence with the help of a juvenile advocate who's never even seen the interiors of a court hall.</div>"
103,Pathu Thala,2023,2h 31m,6.9,"9,541","<div class=""ipc-html-content-inner-div"">An undercover cop goes to find and kill a crime lord. However, when he realizes that the crime lord's business intentions are good and he has his own challenges, he needs to decide his next step and help the crime lord change his life.</div>"
104,Tamil Rockers,2021,1h 38m,2.6,159,"<div class=""ipc-html-content-inner-div"">Four Major characters running for the Money facing more challenges by forgetting the same fact !!.</div>"
105,Hey Sinamika,2022,2h 30m,6.3,"4,385","<div class=""ipc-html-content-inner-div"">The lives of Mouna, a weather scientist who falls in love with Yaazhan, a quirky and loving guy. What happens to their relationship after a couple of years and how things take an unexpected turn after the arrival of Malarvizhi?</div>"
106,Vaaranam Aayiram,2008,2h 49m,8.2,"13,986","<div class=""ipc-html-content-inner-div"">A father and son help each other through growing up, romance, tragedy, and adventure.</div>"
107,Cadaver,2022,2h 3m,6.5,"3,496","<div class=""ipc-html-content-inner-div"">A high profile murder baffles the cops when a prison inmate claims responsibility and promises more deaths. Will the police surgeon Bhadra crack this mystery?</div>"
108,Hey Ram,2000,3h 6m,7.9,"13,789","<div class=""ipc-html-content-inner-div"">Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets out to kill him.</div>"
109,Anaagarigam,2011,1h 52m,6.3,22,"<div class=""ipc-html-content-inner-div"">Married professor misbehave with his student, Professor wife was misbehaved by a sales man, and a professor wife's friend was misbehaved with the professor.</div>"
110,Sarpatta Parambarai,2021,2h 53m,8.5,"24,694","<div class=""ipc-html-content-inner-div"">When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?</div>"
111,Ghilli,2004,2h 40m,8.1,"16,421","<div class=""ipc-html-content-inner-div"">Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will.</div>"
112,Visaaranai,2015,1h 57m,8.5,"11,754","<div class=""ipc-html-content-inner-div"">Four labourers are tortured by the police to confess to a theft they have not committed.</div>"
113,Kondraal Paavam,2023,1h 49m,7.4,699,"<div class=""ipc-html-content-inner-div"">A stranger enters the life of a family that has been suffering in poverty for years. What follows are the events that make their lives even more miserable.</div>"
114,Thangalaan,2024,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka.</div>"
115,Naanum Rowdy Thaan,2015,2h 19m,7.2,"4,945","<div class=""ipc-html-content-inner-div"">A wannabe rowdy who falls for a hearing-impaired girl faces a dilemma when the girl makes a shocking request.</div>"
116,7/G Rainbow Colony,2004,3h 6m,7.9,"2,938","<div class=""ipc-html-content-inner-div"">A neighborhood good-for-nothing attempts to romance the new girl in town.</div>"
117,Maari,2015,2h 18m,6.4,"4,845","<div class=""ipc-html-content-inner-div"">Maari, a goon with a love for pigeon racing, must challenge the police corruption in his town.</div>"
118,Taanakkaran,2022,2h 21m,8.1,"3,307","<div class=""ipc-html-content-inner-div"">A training camp depicts the difficulties of young police trainees.</div>"
119,Sathuranga Vettai,2014,2h 25m,8.1,"3,550","<div class=""ipc-html-content-inner-div"">Ace conman Gandhi effortlessly thinks up schemes to swindle gullible and greedy folks. However on a rare occasion, things don't go according to plan and he ends up in the clutches of a ruthless gang who demand schemes from him for money.</div>"
120,Thanga Magan,2015,2h 2m,6.0,"2,467","<div class=""ipc-html-content-inner-div"">Tamizh's peaceful life is shattered when his father commits suicide. So, he tries to uncover the reason that prompted his father to kill himself.</div>"
121,Angaaragan,2023,2h 8m,5.9,154,"<div class=""ipc-html-content-inner-div"">About mysterious events that unfold in a forest resort during a twelve-hour investigation in a non-linear play. It highlights multiple hidden secrets of paranormal activities related to a late-Queen who was the first owner of this estate.</div>"
122,Chinna,2005,2h 29m,5.0,51,"<div class=""ipc-html-content-inner-div"">Chinna is a 2005 Tamil romantic action thriller film directed by Sundar C. It stars Arjun and Sneha in the lead roles. It did reasonable business at the box-office. The second half is partially inspired by the Hindi film Darr (1993) which has Sunny Deol, Shahrukh Khan, and Juhi Chawla in lead roles. It was dubbed in Telugu as Koti. It was remade in Odia as Criminal .</div>"
123,Velaiilla Pattadhari 2,2017,2h 8m,5.4,"3,003","<div class=""ipc-html-content-inner-div"">A cool-headed crusader for the struggling engineers, Raghuvaran faces the powerful and arrogant owner of a construction company Vasundhara Parameswaran, as they engage in a battle to win the corporate game.</div>"
124,Pariyerum Perumal,2018,2h 34m,8.7,"17,719","<div class=""ipc-html-content-inner-div"">A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.</div>"
125,Michael Madana Kama Rajan,1990,2h 42m,8.5,"4,957","<div class=""ipc-html-content-inner-div"">A comedy of errors with identical quadruplets, separated at birth, coming together as adults.</div>"
126,Beyond White Space,2018,1h 33m,4.5,"2,223","<div class=""ipc-html-content-inner-div"">The USS Essex is travelling in the furthest reaches of the known Universe when it encounters a gigantic creature. After pirates steal their cargo and most of their supplies the crew decide to capture the creature.</div>"
127,Joker,2016,2h 10m,8.3,"3,665","<div class=""ipc-html-content-inner-div"">Mannar Mannan, an ordinary villager, decides to call himself the president of the country and starts fighting against the injustices he comes across in his society. What's his agenda?</div>"
128,Friends,2001,2h 47m,7.9,"5,071","<div class=""ipc-html-content-inner-div"">Three friends, who value friendship over everything else, begin to fall apart when one of them learns about a shocking incident that happened in their past.</div>"
129,Karnan,2021,2h 38m,8.0,"23,408","<div class=""ipc-html-content-inner-div"">Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer.</div>"
130,Licence,2023,1h 58m,9.5,275,"<div class=""ipc-html-content-inner-div"">A middle class House wife Asking A fir arms License to safety Precautions.</div>"
131,Shot Boot Three,2023,1h 57m,8.1,936,"<div class=""ipc-html-content-inner-div"">Shot Boot Three (SB3) is the story of three kids and a dog. Their parents are busy with their respective professional lives. The kids spend time with each other (and the dog)</div>"
132,Jackpot,2019,2h 22m,5.2,598,"<div class=""ipc-html-content-inner-div"">Two smart con-women and a bunch of quirky gangsters are pitted against each other while in pursuit of a mythical vessel fabled for its powers.</div>"
133,Natpe Thunai,2019,2h 34m,6.4,"1,119","<div class=""ipc-html-content-inner-div"">An international hockey player who has chosen to leave the sport picks it up again to save the ground of a local team.</div>"
134,Netrikann,2021,2h 26m,5.9,"3,603","<div class=""ipc-html-content-inner-div"">A cat-and-mouse game engages between a blind woman and a serial killer when the former becomes the witness of a kidnap performed by the latter.</div>"
135,Dhuruvangal Pathinaaru,2016,1h 45m,8.2,"16,595","<div class=""ipc-html-content-inner-div"">A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.</div>"
136,Maalai Nera Malipoo,2022,1h 59m,7.9,60,"<div class=""ipc-html-content-inner-div"">This story explores Lakshmi's constant battle and her race to survive and how she shields her son Karna from the harsh realities of her world.</div>"
137,Sillu Karuppatti,2019,2h 33m,8.0,"1,897","<div class=""ipc-html-content-inner-div"">An anthology of four romantic stories across four age groups connected by that magical thread called love.</div>"
138,Vettaikaaran,2009,2h 46m,5.1,"5,358","<div class=""ipc-html-content-inner-div"">Ravi, a student aspiring to become a police officer, becomes the target of a politician. He turns vigilante with the identity of ""Police Ravi"" to secure justice.</div>"
